symbol,allow_entry_days,last_allow_entry_date
MUSA,1,2026-01-12 00:00:00
THO,1,2026-02-04 00:00:00
MSGS,1,2026-01-09 00:00:00
AXTA,1,2026-01-22 00:00:00
IMXI,1,2026-02-06 00:00:00
FTI,1,2026-01-07 00:00:00
OMF,1,2026-01-06 00:00:00
GATX,1,2026-01-08 00:00:00
PIPR,1,2026-01-15 00:00:00
GJS,1,2026-01-15 00:00:00
DRH,1,2026-01-13 00:00:00
NHPAP,1,2026-01-20 00:00:00
CWAN,1,2026-01-20 00:00:00
VBNK,1,2026-01-15 00:00:00
RWAYL,1,2026-01-12 00:00:00
ANL,1,2026-01-22 00:00:00
GVA,1,2026-01-05 00:00:00
ABCB,1,2026-01-08 00:00:00
FTAIM,1,2026-01-06 00:00:00
BVFL,1,2026-02-06 00:00:00
TXMD,1,2026-01-09 00:00:00
AVAL,1,2026-01-21 00:00:00
BIIB,1,2026-01-07 00:00:00
LMND,1,2026-01-12 00:00:00
UAL,1,2026-01-06 00:00:00
NRIM,1,2026-01-08 00:00:00
KRG,1,2026-01-08 00:00:00
FCFS,1,2026-01-16 00:00:00
NE,1,2026-01-26 00:00:00
TV,1,2026-01-22 00:00:00
AROC,1,2026-01-29 00:00:00
PDFS,1,2026-01-13 00:00:00
MGY,1,2026-01-29 00:00:00
LFUS,1,2026-01-13 00:00:00
LANDP,1,2026-01-22 00:00:00
TNL,1,2026-01-06 00:00:00
CAAP,1,2026-01-05 00:00:00
TNGX,1,2026-01-07 00:00:00
BOKF,1,2026-01-08 00:00:00
AGNCL,1,2026-01-23 00:00:00
FOXA,1,2026-01-05 00:00:00
GFF,1,2026-01-14 00:00:00
AGNCN,1,2026-02-06 00:00:00
QUIK,1,2026-01-16 00:00:00
YETI,1,2026-01-06 00:00:00
TCOM,1,2026-01-12 00:00:00
KEN,1,2026-01-26 00:00:00
INBKZ,1,2026-01-12 00:00:00
FLNC,1,2026-01-16 00:00:00
AZZ,1,2026-01-09 00:00:00
ZION,1,2026-01-06 00:00:00
ASO,1,2026-01-06 00:00:00
ZETA,1,2026-01-06 00:00:00
EE,1,2026-01-09 00:00:00
DAWN,1,2026-01-12 00:00:00
MTSI,1,2026-01-12 00:00:00
GCT,1,2026-01-12 00:00:00
ADAMM,1,2026-01-15 00:00:00
NEOG,1,2026-01-08 00:00:00
BJRI,1,2026-01-06 00:00:00
BPYPP,1,2026-01-28 00:00:00
CBU,1,2026-01-15 00:00:00
SPHR,1,2026-01-13 00:00:00
KMT,1,2026-01-09 00:00:00
XWIN,1,2026-02-04 00:00:00
ZGN,1,2026-01-15 00:00:00
OXLCO,1,2026-01-16 00:00:00
CTRI,1,2026-01-16 00:00:00
CUBI,1,2026-01-08 00:00:00
VLY,1,2026-01-08 00:00:00
LION,1,2026-01-20 00:00:00
WSBF,1,2026-01-14 00:00:00
PTEN,1,2026-01-08 00:00:00
HTH,1,2026-01-21 00:00:00
WS,1,2026-01-15 00:00:00
QIPT,1,2026-01-05 00:00:00
DRD,1,2026-01-15 00:00:00
SNCY,1,2026-01-12 00:00:00
VSH,1,2026-01-15 00:00:00
FOX,1,2026-01-05 00:00:00
TRN,1,2026-01-06 00:00:00
KZR,1,2026-01-08 00:00:00
HOFT,1,2026-01-07 00:00:00
OI,1,2026-01-06 00:00:00
BWNB,1,2026-01-13 00:00:00
POWL,1,2026-01-16 00:00:00
IHS,1,2026-01-13 00:00:00
VINP,1,2026-01-05 00:00:00
SLVM,1,2026-01-13 00:00:00
MTX,1,2026-01-15 00:00:00
MPWR,1,2026-01-28 00:00:00
EXAS,1,2026-02-06 00:00:00
ROIV,1,2026-01-14 00:00:00
HI,1,2026-02-06 00:00:00
VTRS,1,2026-01-09 00:00:00
AGNCM,1,2026-01-28 00:00:00
BTSGU,1,2026-01-05 00:00:00
HLIO,1,2026-01-06 00:00:00
SIBN,1,2026-01-07 00:00:00
ROG,1,2026-01-15 00:00:00
SCHL,1,2026-01-29 00:00:00
SYNA,1,2026-01-06 00:00:00
BCPC,1,2026-01-15 00:00:00
LIVN,1,2026-01-30 00:00:00
RZB,1,2026-01-12 00:00:00
CYD,1,2026-01-12 00:00:00
ATEC,1,2026-01-08 00:00:00
BOTJ,1,2026-01-29 00:00:00
MVT,1,2026-01-30 00:00:00
EFC,1,2026-01-16 00:00:00
DVAX,1,2026-01-12 00:00:00
LSTR,1,2026-01-09 00:00:00
GTY,1,2026-01-07 00:00:00
SHMD,1,2026-01-05 00:00:00
CAMT,1,2026-01-06 00:00:00
SEMR,1,2026-01-06 00:00:00
EWBC,1,2026-01-08 00:00:00
FHB,1,2026-01-08 00:00:00
HQI,1,2026-02-03 00:00:00
TPG,1,2026-01-06 00:00:00
LQDT,1,2026-02-02 00:00:00
JBHT,1,2026-01-06 00:00:00
WRAP,1,2026-01-12 00:00:00
FITBI,1,2026-01-05 00:00:00
ECCX,1,2026-01-29 00:00:00
LNKB,1,2026-02-04 00:00:00
AROW,1,2026-01-21 00:00:00
